IDプラン,プラン名,単価,所要時間,説明,有効
20260122221555_C731617E,Discovery Tour（平日）,49500,120,カット数60枚、5パターン撮影可,TRUE
20260122221555_78798DE8,Discovery Tour（休日）,55000,120,カット数60枚、5パターン撮影可,TRUE
20260122221555_4134C939,Maternity Plan（平日）,33000,90,マタニティ撮影,TRUE
20260122221555_BDA7648C,Maternity Plan（休日）,38500,90,マタニティ撮影,TRUE
